LGOROWLENGTH	12				
P2P	51	Dithered			
NUMBER_OF_FIELDS	6				
BEGIN_DATA_FORMAT					
SampleID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K
END_DATA_FORMAT					
NUMBER_OF_SETS	300				
BEGIN_DATA					
126	K7	50	22	40	0
138	L7	50	31	40	0
150	M7	50	40	40	0
162	N7	50	49	40	0
174	O7	50	58	40	0
186	P7	50	22	49	0
198	Q7	50	31	49	0
210	R7	50	40	49	0
222	S7	50	49	49	0
234	T7	50	58	49	0
246	U7	50	22	58	0
258	V7	50	31	58	0
270	W7	50	40	58	0
282	X7	50	49	58	0
294	Y7	50	58	58	0
7	A6	25	8.878	8.878	0
19	B6	25	13.878	8.878	0
31	C6	25	18.878	8.878	0
43	D6	25	23.878	8.878	0
55	E6	25	28.878	8.878	0
67	F6	25	8.878	13.878	0
79	G6	25	13.878	13.878	0
91	H6	25	18.878	13.878	0
103	I6	25	23.878	13.878	0
115	J6	25	28.878	13.878	0
127	K6	25	8.878	18.878	0
139	L6	25	13.878	18.878	0
151	M6	25	18.878	18.878	0
163	N6	25	23.878	18.878	0
175	O6	25	28.878	18.878	0
187	P6	25	8.878	23.878	0
199	Q6	25	13.878	23.878	0
211	R6	25	18.878	23.878	0
223	S6	25	23.878	23.878	0
235	T6	25	28.878	23.878	0
247	U6	25	8.878	28.878	0
259	V6	25	13.878	28.878	0
271	W6	25	18.878	28.878	0
283	X6	25	23.878	28.878	0
295	Y6	25	28.878	28.878	0
8	A5	62.5	34.238	34.238	0
20	B5	62.5	43.251	34.238	0
32	C5	62.5	52.264	34.238	0
44	D5	62.5	61.277	34.238	0
56	E5	62.5	70.29	34.238	0
68	F5	62.5	34.238	43.251	0
80	G5	62.5	43.251	43.251	0
92	H5	62.5	52.264	43.251	0
104	I5	62.5	61.277	43.251	0
116	J5	62.5	70.29	43.251	0
128	K5	62.5	34.238	52.264	0
140	L5	62.5	43.251	52.264	0
152	M5	62.5	52.264	52.264	0
164	N5	62.5	61.277	52.264	0
176	O5	62.5	70.29	52.264	0
188	P5	62.5	34.238	61.277	0
200	Q5	62.5	43.251	61.277	0
212	R5	62.5	52.264	61.277	0
224	S5	62.5	61.277	61.277	0
236	T5	62.5	70.29	61.277	0
248	U5	62.5	34.238	70.29	0
